id,imena,žanri,jeziki,št poglavij
0,1 Second,"['Action', 'Supernatural']",EN,23
1,1518!,"['School', 'Seinen']",EN,13
2,20 Seiki Shounen: Ujiko Ujio Sakuhinshuu,"['Comedy', 'Mystery', 'Ecchi']",nedoločen,0
3,3x3 Eyes: Kiseki no Yami no Keiyakusha,"['Action', 'Fantasy', 'Supernatural']",JA,48.5
4,47 Taisen,"['Action', 'Fantasy']",JA,14
5,Adabana,"['Mystery', 'Drama', 'Psychological']",JA,28
6,Adamas,"['Action', 'Drama', 'Supernatural']",EN,2
7,Afterschool War Activities,"['Action', 'Drama', 'School']",EN,51
8,AI no Idenshi: Red Queen,"['Drama', 'Sci-Fi', 'Shounen']",JA,20
9,Aibou no Jouken,['Yaoi'],EN,5.5
10,Aisaresugi Confusion,['Yaoi'],EN,4
11,Akuma no Youna Anata,"['Historical', 'Romance', 'Shoujo']",JA,0
12,"Akuyaku Reijou desu ga, Shiawase ni Natte Misemasu wa!: Anthology Comic","['Drama', 'Fantasy', 'Romance']",JA,0
13,Akuyaku Reijou no Tsuihougo!: Kyoukai Kaikaku Gohan de Yuuyuu Sister-gurashi,"['Comedy', 'Fantasy', 'Romance']",JA,45
14,Anti Romance,['Yaoi'],EN,8
15,Ao Haru Ride,"['Comedy', 'Drama', 'Romance']",nedoločen,0
16,Asuko March!: Kenritsu Asuka Kougyou Koukou Koushinkyoku,"['Comedy', 'Drama', 'Romance']",JA,22.5
17,Banjou no Polaris,['Shounen'],nedoločen,0
18,One Piece,"['Action', 'Adventure']",nedoločen,0
19,Jujutsu Kaisen,"['Action', 'Demons']",nedoločen,0
20,Blue Lock,"['Shounen', 'Sports']",nedoločen,0
21,Black Clover,"['Action', 'Comedy']",nedoločen,0
22,My Star,"['Comedy', 'Drama']",nedoločen,0
23,Berserk,"['Action', 'Adventure']",nedoločen,0
24,Chainsaw Man,"['Action', 'Adventure']",nedoločen,0
25,Zom 100: Bucket List of the Dead,"['Action', 'Adventure']",nedoločen,0
26,Solo Leveling,"['Action', 'Adventure']",nedoločen,0
27,One-Punch Man,"['Action', 'Comedy']",nedoločen,0
